transaction_id,date,description,amount,category,payment_method,month,day_of_week,is_fraud,income_type,credit_score,debt_to_income_ratio,savings_rate,financial_stress_level,cash_flow_status,emergency_fund_pkr,emergency_fund_months,subscription_services,loan_payment_pkr,investment_amount_pkr,savings_goal_met,financial_scenario,fraud_flag,financial_advice_score,monthly_income_pkr
TXN0455,2023-01-07,McDonald's,692.82,Food & Dining,JazzCash,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0589,2023-01-07,Uber,425.15,Transport,Credit Card,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0807,2023-01-07,House Rent,16481.55,Rent,Cash,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1191,2023-01-07,Imtiaz Superstore,2046.95,Food & Dining,JazzCash,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1193,2023-01-07,Careem Bike,674.18,Transport,Credit Card,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2290,2023-01-07,Cheetay Delivery,225.68,Food & Dining,EasyPaisa,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0727,2023-01-08,Parking Fee,250.42,Transport,Credit Card,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1527,2023-01-08,Sana Safinaz,2764.56,Shopping,EasyPaisa,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1632,2023-01-08,Water Bill,2804.23,Utilities,EasyPaisa,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0835,2023-01-09,ATM Withdrawal,1340.12,Miscellaneous,Credit Card,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1342,2023-01-09,Exam Fee,8189.52,Education,JazzCash,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1450,2023-01-09,OLX Purchase,1281.25,Shopping,EasyPaisa,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2010,2023-01-09,Careem Bike,930.93,Transport,JazzCash,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0865,2023-01-10,Student Biryani,1561.81,Food & Dining,JazzCash,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1858,2023-01-10,Telenor Postpaid,2539.53,Utilities,Cash,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2180,2023-01-10,Concert Ticket,330.29,Entertainment,Cash,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2333,2023-01-10,Online Course,4859.08,Education,Credit Card,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0617,2023-01-11,Carrefour Grocery,796.23,Food & Dining,Debit Card,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0676,2023-01-11,Dentist,3916.26,Healthcare,Credit Card,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1212,2023-01-11,Café Latte,1234.06,Food & Dining,Credit Card,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0779,2023-01-12,Daraz Entertainment,748.46,Entertainment,Credit Card,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1401,2023-01-12,Hardee's,1709.32,Food & Dining,Debit Card,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1572,2023-01-12,Jazz Cash Saving,8513.8,Savings,Credit Card,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1621,2023-01-12,Cheetay Delivery,402.78,Food & Dining,EasyPaisa,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2167,2023-01-12,InDrive,1251.08,Transport,JazzCash,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0505,2023-01-13,KFC,1550.7,Food & Dining,Cash,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1048,2023-01-13,Books,2864.4,Education,EasyPaisa,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1381,2023-01-13,Laundry,298.46,Miscellaneous,JazzCash,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1673,2023-01-13,Imtiaz Superstore,1976.21,Food & Dining,Credit Card,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1768,2023-01-13,Bykea,1319.27,Transport,Credit Card,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2004,2023-01-13,Hospital Bill,1976.36,Healthcare,Cash,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2106,2023-01-13,Apartment Rent,31649.26,Rent,JazzCash,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0492,2023-01-14,Chase Up,3683.2,Shopping,JazzCash,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1913,2023-01-14,Hardee's,2693.75,Food & Dining,Cash,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2252,2023-01-14,McDonald's,2391.65,Food & Dining,JazzCash,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2480,2023-01-14,Lab Test,2895.77,Healthcare,Cash,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0119,2023-01-15,Careem Bike,224.03,Transport,Cash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1179,2023-01-15,Al-Fatah,1535.43,Shopping,JazzCash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1644,2023-01-15,Lab Test,4674.65,Healthcare,JazzCash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1772,2023-01-15,KESC Electricity Bill,2412.88,Utilities,Debit Card,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1898,2023-01-15,Café Latte,1366.93,Food & Dining,Cash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1985,2023-01-15,Bykea,305.08,Transport,EasyPaisa,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0064,2023-01-16,Daraz,910.19,Shopping,JazzCash,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0403,2023-01-16,Amazon Prime,2038.23,Entertainment,EasyPaisa,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1802,2023-01-16,Bowling,420.14,Entertainment,EasyPaisa,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1962,2023-01-16,Electronics Store,6391.53,Shopping,JazzCash,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0542,2023-01-17,Petrol Station,1141.51,Transport,EasyPaisa,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2076,2023-01-17,KFC,1599.0,Food & Dining,Debit Card,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2191,2023-01-17,Electronics Store,5346.14,Shopping,Debit Card,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0683,2023-01-18,Udemy,1832.17,Education,Cash,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2221,2023-01-18,Nayatel Internet,1597.17,Utilities,Cash,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0576,2023-01-19,Telenor Postpaid,3201.64,Utilities,JazzCash,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0619,2023-01-19,SSGC Gas Bill,3582.55,Utilities,Cash,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1005,2023-01-19,Bykea,697.45,Transport,JazzCash,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1321,2023-01-19,Pizza Hut,2800.15,Food & Dining,Debit Card,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1585,2023-01-19,Cheetay Delivery,1192.13,Food & Dining,EasyPaisa,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1606,2023-01-19,Cheetay Delivery,2139.03,Food & Dining,JazzCash,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2028,2023-01-19,Jazz Cash Saving,3616.89,Savings,JazzCash,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0209,2023-01-20,Cinema Ticket,1858.45,Entertainment,Credit Card,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0365,2023-01-20,Burns Road,1527.1,Food & Dining,Debit Card,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2395,2023-01-20,Jazz Internet,3836.92,Utilities,Debit Card,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0287,2023-01-21,Apartment Rent,8727.88,Rent,EasyPaisa,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0336,2023-01-21,KESC Electricity Bill,4424.0,Utilities,Cash,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0761,2023-01-21,Biryani House,2739.47,Food & Dining,EasyPaisa,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0897,2023-01-22,SSGC Gas Bill,1566.33,Utilities,Cash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1199,2023-01-22,Nayatel Internet,1424.52,Utilities,Credit Card,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1215,2023-01-22,FoodPanda Order,1490.68,Food & Dining,EasyPaisa,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1477,2023-01-22,Carrefour Grocery,2088.02,Food & Dining,Debit Card,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0139,2023-01-23,Uber,726.71,Transport,Cash,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1235,2023-01-23,Hardee's,2571.93,Food & Dining,EasyPaisa,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1415,2023-01-23,Al-Fatah,4053.89,Shopping,Debit Card,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1460,2023-01-23,Shoe Store,6750.12,Shopping,Debit Card,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1989,2023-01-23,Kababjees,1598.04,Food & Dining,Cash,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1492,2023-01-24,Student Biryani,1600.2,Food & Dining,EasyPaisa,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1600,2023-01-24,Laundry,293.83,Miscellaneous,EasyPaisa,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0077,2023-01-25,Bykea,806.65,Transport,Cash,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0482,2023-01-25,Clothing Store,4662.16,Shopping,EasyPaisa,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1014,2023-01-25,Spotify,1775.98,Entertainment,Cash,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1170,2023-01-25,Spotify,633.07,Entertainment,EasyPaisa,2023-01,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0295,2023-01-26,Meezan Savings,5378.15,Savings,Cash,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0800,2023-01-26,Hardee's,999.46,Food & Dining,JazzCash,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2396,2023-01-26,Hardee's,1841.68,Food & Dining,EasyPaisa,2023-01,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0179,2023-01-27,Kababjees,3131.03,Food & Dining,Credit Card,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1028,2023-01-27,Netflix,1562.9,Entertainment,EasyPaisa,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1748,2023-01-27,Doctor Visit,3801.35,Healthcare,Credit Card,2023-01,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2034,2023-01-28,Apartment Rent,13413.58,Rent,Cash,2023-01,Saturday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0151,2023-01-29,Nayatel Internet,1105.47,Utilities,Cash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0200,2023-01-29,Café Latte,2358.81,Food & Dining,JazzCash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1104,2023-01-29,Parking Fee,1068.44,Transport,Credit Card,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1650,2023-01-29,Pharmacy,266.84,Healthcare,JazzCash,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2234,2023-01-29,Cheetay Delivery,1751.39,Food & Dining,Debit Card,2023-01,Sunday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0763,2023-01-30,Dentist,2711.04,Healthcare,Debit Card,2023-01,Monday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0458,2023-01-31,Amazon Prime,1299.88,Entertainment,Debit Card,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1320,2023-01-31,SSGC Gas Bill,3638.22,Utilities,Cash,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1597,2023-01-31,Apartment Rent,6781.57,Rent,Credit Card,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2418,2023-01-31,Telenor Postpaid,748.25,Utilities,Cash,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2455,2023-01-31,Hardee's,2270.99,Food & Dining,Cash,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2486,2023-01-31,Laundry,2046.27,Miscellaneous,JazzCash,2023-01,Tuesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0392,2023-02-01,Dawaai Pharmacy,1494.6,Healthcare,JazzCash,2023-02,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1614,2023-02-01,Pizza Hut,2612.33,Food & Dining,JazzCash,2023-02,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2223,2023-02-01,Water Bill,4112.23,Utilities,Debit Card,2023-02,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2421,2023-02-01,Prize Bond,13391.8,Savings,JazzCash,2023-02,Wednesday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0039,2023-02-02,Electronics Store,4388.39,Shopping,EasyPaisa,2023-02,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2082,2023-02-02,Careem,477.21,Transport,Debit Card,2023-02,Thursday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0102,2023-02-03,Khaadi,2642.52,Shopping,Debit Card,2023-02,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN0122,2023-02-03,Cinema Ticket,1163.05,Entertainment,Credit Card,2023-02,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1561,2023-02-03,Cheetay Delivery,1212.52,Food & Dining,EasyPaisa,2023-02,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1571,2023-02-03,Imtiaz Superstore,2831.74,Food & Dining,EasyPaisa,2023-02,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1686,2023-02-03,Bowling,296.98,Entertainment,Debit Card,2023-02,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN1903,2023-02-03,FoodPanda Order,1566.66,Food & Dining,Debit Card,2023-02,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
TXN2164,2023-02-03,Monthly Rent,18266.22,Rent,Debit Card,2023-02,Friday,0,Salary,695,0.392,0.119,Medium,Positive,418628.0,5.9,3,113110.0,74683.0,0,normal,0,61.2,80000
